employee_id,tasks_completed,average_task_quality,projects_led,client_satisfaction_score,hours_worked,deadline_met_score,innovation_score,efficiency_score,performance_rating
1062,46,5,4,54,49,5,9,8,Low
1063,49,9,0,73,40,7,9,8,High
1064,34,5,1,68,41,6,2,7,Low
1065,41,6,0,63,47,6,2,8,Low
1066,33,7,0,63,38,8,8,7,Medium
1067,33,8,0,86,39,9,2,6,Medium
1068,27,7,0,82,36,6,5,7,Low
1069,53,5,3,86,42,6,3,6,Medium
1070,35,6,2,79,34,8,5,9,Medium
1071,48,9,4,65,34,6,5,5,High
1072,57,8,3,88,32,8,8,7,High
1073,21,7,1,91,43,6,7,8,Medium
1074,52,5,0,71,43,9,9,6,Medium
1075,56,5,2,96,44,7,8,6,Medium
1076,20,8,0,54,47,7,6,9,Low
1077,58,5,4,99,40,5,8,6,High
1078,58,7,4,61,49,6,4,5,Medium
1079,38,5,2,65,36,9,4,6,Low
1080,20,5,3,92,46,9,2,7,Low
1081,22,7,2,53,43,9,2,9,Low
1082,58,7,0,54,33,6,2,8,Low
1083,46,8,3,75,38,5,7,5,High
1084,57,5,3,68,34,8,8,8,Medium
1085,30,7,2,61,48,6,8,8,Low
1086,48,6,1,64,43,7,3,7,Low
1087,48,6,2,79,49,9,4,6,High
1088,50,8,4,59,32,6,7,5,High
1089,22,7,0,51,46,5,2,9,Low
1090,47,8,1,85,45,6,1,5,Medium
1091,33,5,2,57,48,7,1,5,Low
1092,40,7,0,81,48,6,5,5,Medium
1093,48,5,1,95,37,7,5,5,Low
1094,34,7,1,65,37,5,7,9,Low
1095,46,6,3,53,48,9,2,6,Low
1096,33,8,3,51,49,5,5,6,Low
1097,23,9,1,56,36,5,3,6,Low
1098,25,5,4,88,49,8,9,7,High
1099,55,6,4,61,37,7,2,7,Medium
1100,24,8,3,87,38,8,7,6,High
1101,45,7,1,89,32,6,2,5,Low
1102,52,9,1,63,40,9,1,6,Medium
1103,42,5,4,69,45,9,9,7,High
1104,21,5,0,84,34,6,6,8,Low
1105,43,9,1,79,43,7,8,9,High
1106,25,7,3,58,36,9,8,7,High
1107,52,6,4,62,34,5,1,9,Medium
1108,26,8,2,56,33,8,4,8,Medium
1109,51,6,1,95,37,8,1,7,Medium
1110,41,5,0,63,32,5,6,6,Low
1111,25,7,3,67,39,8,5,5,Low
1112,44,5,1,66,33,8,9,7,Low
1113,26,9,4,71,49,7,6,9,High
1114,47,5,2,68,36,9,2,9,High
1115,56,6,4,73,36,9,4,6,High
1116,21,9,2,96,41,6,6,7,High
1117,51,9,1,59,30,9,4,5,High
1118,26,6,2,64,41,8,3,8,Low
1119,54,8,0,65,32,8,7,8,High
1120,49,8,1,62,47,5,1,9,Low
1121,43,7,1,95,35,9,8,9,High
1122,38,7,2,65,41,6,5,6,Low
1123,36,7,2,58,35,9,8,7,High
1124,33,6,3,90,48,9,7,8,High
1125,26,6,4,99,42,5,2,6,Medium
1126,38,8,0,98,44,5,8,8,High
1127,27,9,0,88,35,9,7,7,High
1128,36,7,4,62,32,7,6,6,Medium
1129,42,5,4,70,41,8,1,9,Medium
1130,38,5,2,93,41,8,6,6,Medium
1131,58,6,0,94,31,6,6,7,Low
1132,30,5,0,99,40,8,4,6,Low
1133,53,9,4,99,41,7,4,7,High
1134,27,8,2,86,39,6,7,8,High
1135,43,7,4,76,32,9,7,9,High
1136,40,9,0,85,32,9,8,7,High
1137,39,5,1,57,47,9,4,5,Low
1138,33,8,2,90,43,7,8,9,High
1139,53,7,4,92,35,5,5,9,High
1140,48,6,4,61,39,9,7,7,Medium
1141,44,8,2,56,35,7,4,7,Medium
1142,51,9,0,57,46,7,9,6,High
1143,56,8,1,94,43,9,3,5,High
1144,55,7,0,79,41,6,3,7,Medium
1145,58,7,1,96,38,8,1,9,High
1146,48,8,0,94,43,5,8,6,High
1147,53,7,2,83,32,5,5,6,Medium
1148,51,7,4,54,47,5,5,9,Low
1149,25,9,0,69,32,9,4,9,Medium
1150,49,5,4,93,41,6,7,9,High
1151,31,8,3,88,41,8,2,8,High
1152,49,8,4,97,47,9,3,6,High
1153,51,8,2,73,46,7,8,9,High
1154,36,8,1,94,44,8,9,9,High
1155,24,6,0,98,39,6,5,9,Low
1156,37,6,0,65,49,5,1,6,Low
1157,20,5,1,53,34,5,7,5,Low
1158,31,5,3,57,46,9,2,7,Low
1159,46,9,1,98,33,7,8,6,High
1160,49,5,1,92,44,7,7,7,Medium
1161,49,6,3,78,30,7,1,6,Low
1162,20,8,4,89,30,7,9,9,High
1163,24,7,2,66,47,7,2,9,Medium
1164,47,6,1,76,45,7,2,6,Low
1165,39,9,1,55,30,9,1,5,Medium
1166,25,5,0,51,49,9,7,6,Low
1167,51,9,2,57,37,5,6,6,Medium
1168,23,8,1,54,48,5,3,5,Low
1169,42,6,1,94,38,5,6,9,Medium
1170,28,9,2,58,48,7,6,5,Medium
1171,49,5,2,51,33,5,6,5,Low
1172,47,8,1,77,40,7,7,5,Medium
1173,35,7,0,83,46,6,8,8,Medium
1174,31,9,1,84,34,9,4,7,High
1175,59,7,0,87,32,6,1,9,High
1176,30,9,2,94,32,9,3,5,High
1177,28,7,4,80,38,7,1,8,Medium
1178,54,9,4,94,30,9,7,9,High
1179,33,6,4,69,48,7,1,5,Low
1180,56,9,0,55,32,6,4,6,High
1181,54,8,4,72,33,8,3,6,High
1182,26,5,0,72,32,6,4,5,Low
1183,34,9,0,90,44,6,9,9,Medium
1184,25,6,2,89,48,8,1,8,Medium
1185,36,9,3,72,36,8,2,9,High
1186,52,5,3,52,32,8,9,8,Medium
1187,54,9,1,99,43,6,5,7,High
1188,26,7,3,99,48,6,1,6,Medium
1189,52,7,3,58,36,8,7,7,High
1190,52,8,3,93,39,8,8,8,High
1191,58,5,4,85,44,7,6,9,High
1192,39,7,4,99,34,6,6,5,High
1193,57,7,2,83,32,8,1,6,High
1194,43,9,3,80,31,5,8,5,High
1195,24,9,4,61,42,9,6,6,High
1196,46,5,1,50,33,5,9,7,Low
1197,45,8,3,84,42,7,8,5,High
1198,44,6,1,83,34,6,6,9,Medium
1199,39,9,0,76,38,6,7,7,Medium
1200,23,6,1,84,38,9,6,5,Low
1201,41,8,2,53,48,6,2,6,Low
1202,47,7,3,65,32,8,2,6,Medium
1203,20,6,1,60,49,5,1,5,Low
1204,44,9,0,78,43,6,3,7,Medium
1205,46,6,2,82,47,7,1,9,Low
1206,57,7,0,82,34,6,1,9,Low
1207,23,7,3,72,45,5,9,6,High
1208,40,7,2,71,39,6,8,9,Medium
1209,57,5,4,99,47,8,6,5,High
1210,54,7,2,89,41,5,6,7,High
1211,41,6,2,55,39,6,2,8,Low
1212,20,6,0,51,38,6,2,5,Low
1213,29,5,0,71,48,5,8,9,Low
1214,52,8,4,63,32,9,4,5,High
1215,25,7,4,68,37,7,1,9,Medium
1216,40,8,1,63,48,5,9,8,Medium
1217,45,9,1,98,45,7,8,8,High
1218,49,7,3,73,42,7,5,5,Medium
1219,48,7,3,80,30,7,5,9,High
1220,35,9,1,66,34,5,5,5,Low
1221,24,7,2,98,37,5,2,6,Medium
1222,56,6,0,87,46,6,3,9,Low
1223,21,7,0,76,35,6,8,5,Low
1224,34,5,0,88,43,7,8,9,Low
1225,59,5,0,89,34,8,4,7,Medium
1226,25,7,2,98,49,6,4,8,Medium
1227,57,9,2,63,43,9,2,9,High
1228,38,7,4,86,31,6,3,7,Medium
1229,36,5,3,53,34,5,2,9,Low
1230,20,5,0,97,42,8,7,7,Medium
1231,45,6,4,54,46,9,4,7,Medium
1232,54,6,0,97,34,8,2,9,Medium
1233,27,6,4,80,36,7,1,5,Low
1234,30,8,0,52,43,8,3,8,Low
1235,25,5,2,81,30,9,7,7,High
1236,49,8,3,90,37,7,2,9,High
1237,30,8,1,93,44,6,1,5,Low
1238,29,6,3,60,43,6,7,5,Low
1239,21,5,4,60,31,5,9,8,Low
1240,23,7,4,78,34,8,3,7,High
1241,52,9,1,76,46,7,1,6,Medium
1242,23,7,1,87,31,9,4,8,Medium
1243,32,8,1,70,41,9,3,8,Medium
1244,31,8,3,94,33,6,3,5,High
1245,54,5,2,66,46,7,3,6,Low
1246,44,6,2,84,44,5,8,8,Medium
1247,58,7,1,80,39,8,2,7,Medium
1248,23,5,0,78,44,7,2,8,Low
1249,33,7,2,89,44,6,3,8,High
1250,27,6,4,91,49,5,1,6,Low
1251,32,7,2,52,39,8,1,6,Low
1252,54,9,1,76,46,5,5,8,High
1253,20,7,0,87,42,7,9,9,High
1254,59,6,0,82,38,9,3,9,High
1255,46,5,3,94,48,5,2,6,Low
1256,23,8,2,94,39,5,9,5,Medium
1257,56,5,2,87,38,7,9,5,High
1258,49,7,4,88,34,8,4,6,High
1259,59,8,1,74,42,9,7,8,High
1260,26,8,4,89,42,6,5,8,High
1261,52,9,1,64,30,8,6,7,High
1262,55,9,0,88,37,7,8,7,High
1263,28,9,3,81,47,9,4,8,Medium
1264,57,7,4,56,47,7,6,5,Medium
1265,46,8,0,96,30,5,7,8,Medium
1266,58,6,4,78,39,7,6,7,Medium
1267,25,9,0,83,34,6,6,7,Medium
1268,47,5,1,82,33,6,4,6,Low
1269,26,8,1,62,37,6,7,5,Low
1270,22,9,0,94,39,9,4,8,High
1271,20,5,0,74,32,7,6,8,Low
1272,26,6,0,84,39,5,2,5,Low
1273,29,9,1,78,38,8,6,7,High
1274,34,9,1,94,37,9,8,5,High
1275,40,5,0,50,37,7,3,5,Low
1276,56,9,1,89,42,9,2,5,High
1277,55,5,1,92,44,9,3,7,Medium
1278,34,8,2,61,45,9,4,6,Medium
1279,54,6,0,65,47,5,7,9,Low
1280,57,6,3,58,49,5,4,5,Low
1281,44,5,3,62,37,5,8,6,Low
1282,44,7,2,75,46,6,9,9,High
1283,38,8,4,52,30,8,2,8,High
1284,33,6,0,63,43,9,6,5,Low
1285,21,7,2,90,33,7,8,5,High
1286,46,8,1,94,45,6,8,5,Medium
1287,54,8,4,91,47,9,2,8,High
1288,30,9,4,71,41,9,1,7,High
1289,49,7,2,79,42,8,1,6,Medium
1290,35,5,2,75,31,8,9,9,Medium
1291,45,7,0,87,39,5,3,5,Low
1292,32,6,1,63,45,5,7,9,Low
1293,59,6,3,96,38,5,1,9,Medium
1294,40,9,3,73,42,8,1,6,High
1295,25,7,4,63,42,6,7,7,High
1296,40,9,2,72,47,9,7,9,High
1297,53,5,0,95,30,8,9,8,High
1298,43,6,0,99,36,6,3,6,Low
1299,32,7,0,97,47,7,3,9,Medium
1300,23,7,4,96,42,8,5,7,High
1301,55,8,0,81,33,7,1,7,Medium
1302,53,7,2,80,39,8,8,7,High
1303,59,7,1,52,37,6,6,6,Medium
1304,41,8,4,92,32,7,1,6,High
1305,59,6,1,64,41,5,4,9,Low
1306,42,8,1,82,33,7,7,9,High
1307,53,9,4,50,44,7,8,5,High
1308,40,6,2,72,35,7,8,7,Medium
1309,26,5,3,99,44,6,8,5,Medium
1310,32,8,3,97,37,7,6,5,High
1311,28,6,4,93,45,8,1,8,Medium
1312,55,8,0,51,39,7,9,8,Medium
1313,34,5,0,60,34,7,9,7,Low
1314,55,8,0,50,32,8,4,7,Medium
1315,38,7,3,53,37,6,3,8,Medium
1316,59,9,2,91,34,5,3,5,High
1317,34,8,3,89,31,7,9,5,High
1318,34,6,0,60,32,8,8,6,Low
1319,35,6,0,73,48,5,3,5,Low
1320,57,5,2,78,48,6,6,7,Medium
1321,25,8,4,75,36,8,2,9,High
1322,56,7,4,53,48,9,5,9,High
1323,21,8,0,80,42,6,8,6,Low
1324,40,9,2,52,36,8,1,9,High
1325,54,5,1,92,42,8,6,8,Medium
1326,59,9,2,95,43,7,3,9,High
1327,59,9,2,59,45,6,9,8,High
1328,29,6,1,85,30,8,5,7,Medium
1329,40,5,3,90,44,6,8,9,Medium
1330,28,6,1,85,33,7,5,7,Medium
1331,36,5,3,71,47,6,5,7,Low
1332,23,6,2,72,42,8,2,7,Low
1333,40,5,0,84,39,6,3,5,Low
1334,34,5,2,92,39,5,8,9,Low
1335,57,9,0,92,44,8,2,8,High
1336,40,6,0,65,35,6,8,5,Low
1337,53,7,4,93,43,7,9,9,High
1338,21,7,1,75,49,7,4,9,Low
1339,50,5,1,68,43,9,8,5,Medium
1340,42,8,0,76,48,6,3,6,Low
1341,47,6,4,66,34,7,9,6,Medium
1342,55,9,0,68,41,9,1,9,High
1343,39,6,2,98,34,5,5,9,Medium
1344,41,9,1,88,47,5,7,9,High
1345,44,5,3,82,39,5,4,9,Low
1346,23,6,3,55,31,5,6,9,Low
1347,36,5,1,51,34,6,1,7,Low
1348,35,8,0,86,35,9,5,6,Medium
1349,25,9,2,79,34,9,9,9,High
1350,33,7,3,82,38,7,1,8,Medium
1351,27,6,4,77,49,6,2,7,Low
1352,36,7,3,91,48,5,9,7,High
1353,26,9,3,62,34,9,8,5,High
1354,58,6,3,92,45,5,3,6,Medium
1355,51,5,3,69,31,8,6,7,Medium
1356,34,5,3,52,46,8,4,8,Low
1357,43,8,2,54,42,9,1,7,Medium
1358,34,7,4,55,48,9,3,8,Medium
1359,22,9,0,50,40,7,2,8,Low
1360,46,5,4,86,46,6,2,6,Low
1361,43,7,2,61,33,5,6,7,Low
1362,20,6,0,54,36,7,9,9,Low
1363,28,8,4,64,40,7,6,6,Medium
1364,29,9,4,79,47,7,1,7,High
1365,27,7,4,95,41,6,4,9,High
1366,22,6,4,60,44,5,1,9,Low
1367,39,6,4,76,44,9,5,5,High
1368,57,6,3,73,36,7,3,7,Medium
1369,34,6,0,93,46,5,4,9,Low
1370,45,7,3,98,42,8,1,6,High
1371,51,9,2,97,46,8,7,9,High
1372,53,7,2,59,49,7,8,8,High
1373,39,6,4,96,37,8,3,6,High
1374,21,5,4,51,40,9,6,6,Low
1375,56,7,0,85,43,8,6,6,High
1376,40,7,2,51,42,7,2,6,Low
1377,27,8,1,56,46,9,4,5,Medium
1378,24,8,4,53,43,7,7,7,High
1379,34,6,2,86,41,5,9,9,High
1380,22,5,0,99,47,5,7,6,Low
1381,39,9,4,80,47,9,2,9,High
1382,23,6,4,98,44,9,4,5,High
1383,25,9,3,55,38,9,5,9,Medium
1384,54,9,3,79,46,5,2,8,High
1385,58,7,2,64,31,8,2,9,Medium
1386,51,7,4,76,45,5,2,5,Medium
1387,28,5,1,75,44,9,4,7,Low
1388,47,6,4,55,38,9,2,5,High
1389,30,7,4,68,44,8,3,7,High
1390,51,9,3,75,46,9,8,5,High
1391,20,6,1,58,47,6,8,5,Low
1392,34,6,2,54,38,8,4,9,Low
1393,26,5,2,51,33,6,3,6,Low
1394,39,8,3,94,31,8,9,8,High
1395,39,8,3,51,32,6,8,5,High
1396,22,6,2,58,48,7,1,6,Low
1397,25,5,4,90,42,9,9,5,Medium
1398,43,8,1,75,34,7,1,6,Medium
1399,49,9,2,67,42,9,4,8,High
1400,44,8,2,95,49,9,3,5,High
1401,36,7,1,58,47,7,4,5,Low
1402,49,8,4,88,30,6,1,8,High
1403,40,5,1,58,39,8,8,8,Low
1404,45,5,1,68,44,7,7,9,Low
1405,28,5,1,84,30,5,7,8,Low
1406,27,5,2,88,31,9,8,6,Medium
1407,33,7,1,62,49,6,3,7,Low
1408,54,8,3,66,47,7,4,7,High
1409,21,7,4,63,42,8,1,9,Medium
1410,54,5,0,90,32,5,5,9,Low
1411,38,8,3,89,40,7,2,8,High
1412,31,9,3,79,40,7,8,6,High
1413,20,5,4,83,37,6,5,8,Low
1414,52,6,3,88,46,9,9,6,High
1415,32,6,4,89,31,7,8,8,High
1416,58,7,4,74,38,8,3,5,High
1417,44,9,4,90,41,5,4,5,High
1418,42,9,0,75,34,6,1,9,Medium
1419,35,9,2,92,47,8,2,5,High
1420,59,6,0,58,43,7,9,7,Low
1421,35,9,3,81,37,9,6,6,High
1422,25,6,2,72,31,5,1,9,Low
1423,22,7,3,93,33,6,2,8,Medium
1424,20,8,0,69,46,8,3,5,Low
1425,36,7,1,57,45,9,6,6,Medium
1426,44,9,1,67,37,9,2,9,High
1427,33,7,2,73,49,9,7,5,Medium
1428,22,7,2,84,36,6,7,8,Medium
1429,53,8,2,62,32,9,4,7,High
1430,46,9,0,76,48,7,3,7,Medium
1431,58,8,1,59,33,8,9,7,Medium
1432,30,5,1,75,36,6,5,7,Low
1433,55,7,4,89,31,9,4,8,High
1434,56,9,3,80,45,7,3,5,High
1435,31,6,0,95,44,9,2,6,Medium
1436,55,9,1,50,30,5,5,6,Medium
1437,28,9,3,64,44,8,4,7,High
1438,39,7,4,73,41,5,6,9,Medium
1439,40,8,3,98,41,8,1,6,High
1440,54,5,4,57,47,8,7,5,Medium
1441,39,7,0,97,49,7,2,5,Medium
1442,29,8,0,83,40,6,8,8,Medium
1443,33,8,2,55,48,5,2,8,Low
1444,38,5,4,90,45,5,1,9,Low
1445,45,7,3,90,41,7,1,6,Medium
1446,29,6,4,69,46,7,1,5,Low
1447,33,5,3,55,36,9,3,9,Low
1448,36,5,1,54,40,6,1,9,Low
1449,51,9,4,79,43,7,5,9,High
1450,56,8,3,53,48,6,7,6,High
1451,45,9,2,80,43,7,1,8,High
1452,25,5,1,98,47,5,4,8,Low
1453,31,8,4,54,49,5,1,9,Low
1454,51,8,1,62,43,9,2,7,High
1455,35,6,1,97,36,5,6,5,Low
1456,41,8,4,62,45,6,6,7,Medium
1457,30,8,3,97,32,7,7,9,High
1458,34,8,0,70,38,6,8,9,Low
1459,21,9,3,78,37,8,4,9,High
1460,54,6,0,99,32,8,2,5,Medium
1461,47,6,0,68,36,8,6,8,Medium
1462,37,9,1,50,44,5,2,6,Low
1463,45,9,3,69,35,9,4,6,High
1464,45,6,2,61,32,5,5,9,Low
1465,32,6,1,51,41,5,2,7,Low
1466,40,8,1,90,31,5,5,8,Medium
1467,35,5,0,50,48,7,1,6,Low
1468,31,5,4,96,31,5,6,6,Medium
1469,26,5,3,82,48,8,3,5,Low
1470,24,9,0,54,44,9,5,8,Medium
1471,59,5,0,73,41,9,4,9,Medium
1472,27,8,4,57,30,7,1,6,Low
1473,49,9,3,67,48,7,9,8,High
1474,49,5,3,57,48,8,9,6,Medium
1475,56,6,1,90,32,8,3,9,High
1476,21,6,2,70,43,7,7,5,Low
1477,55,7,1,93,48,6,8,5,High
1478,40,8,4,76,49,5,4,5,Medium
1479,20,5,1,88,33,5,9,7,Medium
1480,42,9,2,94,37,5,7,7,High
1481,28,8,3,53,44,5,8,6,High
1482,39,7,3,65,33,7,3,9,Medium
1483,47,8,2,62,36,5,1,7,Low
1484,46,7,1,77,48,7,8,9,High
1485,30,7,1,61,41,6,1,9,Low
1486,26,8,3,82,34,7,1,8,Medium
1487,43,6,0,63,31,6,3,5,Low
1488,30,8,0,53,32,8,4,5,Low
1489,58,6,2,54,35,7,1,5,Medium
1490,48,9,1,76,48,7,7,8,High
1491,56,5,4,95,31,5,1,5,Medium
1492,44,5,1,50,49,8,7,9,Medium
1493,55,6,4,64,37,7,7,8,High
1494,44,8,4,84,41,7,3,7,High
1495,35,8,1,77,41,9,6,8,High
1496,48,6,0,60,45,9,2,8,Low
1497,55,5,4,68,40,6,2,9,Low
1498,33,7,1,98,31,7,8,5,Medium
1499,40,8,4,66,43,7,7,9,High
1500,55,8,3,93,42,9,1,8,High
1501,49,6,2,63,44,6,5,5,Low
1502,51,8,3,82,38,5,5,5,High
1503,25,6,1,60,43,9,1,6,Low
1504,55,6,0,64,38,7,6,9,Medium
1505,34,8,2,75,40,7,6,6,Medium
1506,20,9,1,55,41,9,3,9,Medium
1507,46,5,3,99,39,7,5,9,Medium
1508,22,6,4,53,35,5,8,9,Low
1509,33,9,3,72,35,6,5,6,Medium
1510,57,8,1,95,37,8,6,7,High
1511,50,8,3,53,43,5,2,6,Low
1512,44,8,4,76,46,8,4,7,High
1513,23,7,2,58,43,9,2,6,Low
1514,46,6,2,92,35,8,5,8,Medium
1515,45,8,3,72,47,6,9,6,High
1516,29,8,1,63,30,8,4,6,Medium
1517,43,8,1,98,32,5,1,8,Medium
1518,50,8,1,62,49,6,5,9,Medium
1519,28,6,4,62,44,7,4,5,Low
1520,53,6,0,75,41,7,1,6,Low
1521,39,5,4,85,37,7,5,8,Medium
1522,41,9,2,64,38,5,7,9,High
1523,32,6,3,89,35,8,8,9,High
1524,43,6,4,79,40,6,3,6,Medium
1525,48,5,1,51,30,5,1,9,Low
1526,32,5,0,83,42,5,2,6,Low
1527,36,5,0,51,42,8,4,6,Low
1528,24,6,4,64,42,5,8,7,Low
1529,20,6,2,55,31,8,2,7,Low
1530,25,8,1,71,41,8,7,7,Medium
1531,20,5,0,85,42,8,8,9,Low
1532,32,5,0,87,36,5,5,7,Low
1533,52,8,4,97,38,8,9,9,High
1534,47,9,1,85,36,8,7,8,High
1535,57,7,3,50,43,8,3,8,Medium
1536,23,6,2,84,33,7,5,5,Low
1537,57,5,3,77,40,7,2,8,Medium
1538,41,6,1,54,47,6,1,8,Low
1539,21,7,1,85,37,9,1,5,Medium
1540,59,5,3,72,49,9,3,6,Medium
1541,34,5,4,71,30,9,9,6,High
1542,45,5,3,72,33,7,3,6,Low
1543,57,5,3,63,37,5,5,5,Low
1544,25,5,1,81,41,6,8,5,Low
1545,45,7,4,85,36,8,1,8,Medium
1546,43,6,1,57,32,5,4,6,Low
1547,39,6,4,58,32,7,4,9,Medium
1548,30,6,3,74,46,6,4,7,Low
1549,51,7,3,80,38,8,9,7,High
1550,35,8,1,96,36,8,3,9,High
1551,46,9,3,61,47,5,3,6,Medium
1552,31,7,3,56,49,9,2,9,Medium
1553,58,7,0,78,43,9,3,5,High
1554,45,8,1,61,38,8,8,7,High
1555,47,6,2,58,46,8,2,9,Medium
1556,55,5,0,99,43,5,9,9,Medium
1557,24,5,4,83,44,7,4,9,Medium
1558,23,6,0,54,45,7,8,6,Low
1559,48,5,2,84,30,7,8,6,Medium
1560,37,9,1,90,41,8,6,8,High
1561,34,9,4,77,44,6,8,6,High
1562,26,8,0,58,37,5,6,8,Low
1563,47,9,1,89,36,5,5,9,High
1564,59,5,0,79,31,5,4,5,Low
1565,29,8,3,97,45,7,2,8,High
1566,26,7,3,88,49,6,2,8,Medium
1567,29,9,3,69,35,8,7,9,High
1568,51,6,1,93,45,8,8,9,High
1569,43,6,0,98,37,5,2,8,Low
1570,54,6,3,59,31,8,7,6,Medium
1571,32,6,4,90,34,8,6,5,High
1572,53,7,1,99,32,6,2,5,High
1573,44,6,3,93,45,9,7,7,High
1574,24,8,4,68,43,7,1,6,Medium
1575,55,7,0,58,47,5,3,9,Low
1576,38,9,0,98,39,8,9,7,High
1577,35,9,2,75,39,5,9,6,Medium
1578,53,8,3,72,49,9,5,6,High
1579,30,7,2,95,36,9,1,9,Medium
1580,35,7,1,78,38,9,9,7,High
1581,29,8,4,84,36,5,6,6,High
1582,25,8,1,77,31,8,3,9,Medium
1583,45,8,0,83,33,5,5,9,Medium
1584,27,8,0,81,43,9,5,8,High
1585,41,7,0,59,34,6,1,8,Low
1586,20,6,0,67,31,9,8,8,Low
1587,33,7,0,99,43,8,8,5,Medium
1588,56,7,0,70,48,9,7,8,Medium
1589,30,6,3,78,32,6,9,9,Medium
1590,36,6,4,74,37,9,8,8,High
1591,55,6,1,57,49,7,7,9,Medium
1592,52,9,3,68,41,5,6,9,High
1593,29,5,1,86,45,9,1,8,Low
1594,38,7,4,92,49,7,7,5,High
1595,38,6,0,77,49,7,7,8,Medium
1596,55,8,2,97,48,6,5,5,High
1597,48,9,0,63,46,8,4,6,Medium
1598,45,8,3,75,35,5,2,7,Medium
1599,56,9,3,54,31,5,2,9,Medium
1600,42,5,1,77,41,9,9,9,Medium
1601,59,9,2,78,43,8,6,5,High
1602,57,9,3,53,45,6,1,8,Medium
1603,32,8,3,99,39,6,7,5,High
1604,43,9,3,89,43,5,7,6,High
1605,52,7,4,95,48,9,2,9,High
1606,25,7,3,59,39,8,5,5,Low
1607,53,9,1,68,38,7,1,6,Medium
1608,29,5,2,70,44,7,9,7,Low
1609,22,9,2,94,44,5,6,6,Medium
1610,47,9,0,60,39,6,6,6,Medium
1611,36,9,2,56,32,6,3,9,Medium
1612,38,5,0,57,42,6,6,7,Low
1613,32,7,2,53,33,9,9,8,Medium
1614,57,8,0,62,42,6,7,8,Low
1615,51,7,2,78,40,6,2,6,High
1616,44,5,2,68,41,5,5,5,Low
1617,38,8,2,73,44,5,9,8,Medium
1618,20,5,4,75,40,9,2,5,Medium
1619,27,9,2,90,35,9,1,8,High
1620,25,9,0,62,36,6,7,8,Low
1621,43,9,4,89,44,9,5,7,High
1622,29,7,1,76,33,8,1,7,Medium
1623,38,7,2,56,44,8,9,7,High
1624,32,5,4,99,44,9,9,5,High
1625,43,8,4,80,41,7,5,8,High
1626,52,8,4,68,32,6,3,5,Medium
1627,57,8,1,66,32,6,7,6,Medium
1628,58,8,2,70,45,5,9,8,High
1629,20,9,1,60,34,8,6,7,Medium
1630,27,9,3,51,38,9,1,6,Medium
1631,33,7,4,78,44,8,9,8,High
