employee_id,speech_sentiment_score,speech_energy_level,speech_clarity_score,tone_consistency_score,speaking_speed,pause_frequency,pitch_variation,volume_stability_score,performance_rating
1073,-0.79,6,8,4,87,1,6,6,Medium
1074,0.02,4,6,3,129,5,2,8,Medium
1075,-0.5,3,6,1,137,5,9,3,Medium
1076,-0.23,5,6,9,105,9,3,5,Low
1077,0.24,9,8,5,151,5,2,4,High
1078,0.53,6,7,1,102,1,3,7,Medium
1079,-0.74,7,8,3,126,5,6,3,Low
1080,-0.63,6,8,3,115,5,4,2,Low
1081,0.84,5,5,5,106,9,8,8,Low
1082,0.09,4,6,9,155,2,5,7,Low
1083,0.94,7,5,7,148,4,1,8,High
1084,0.2,3,6,2,95,3,9,8,Medium
1085,0.54,4,8,4,122,3,3,4,Low
1086,0.72,5,9,1,154,4,1,1,Low
1087,-0.25,7,8,7,110,9,1,7,High
1088,-0.88,5,5,7,127,3,5,3,High
1089,-0.77,5,8,5,138,5,1,3,Low
1090,0.56,8,9,1,122,0,8,9,Medium
1091,0.26,5,5,3,103,2,6,6,Low
1092,-0.31,5,7,7,147,1,9,6,Medium
1093,-0.82,9,7,3,129,9,9,2,Low
1094,0.16,3,5,7,108,2,6,7,Low
1095,0.4,7,7,5,158,2,1,4,Low
1096,0.72,8,9,2,140,4,1,4,Low
1097,-0.16,6,7,1,159,4,4,3,Low
1098,-0.21,5,8,9,106,8,9,2,High
1099,0.85,9,9,2,121,2,9,6,Medium
1100,0.67,7,6,6,119,4,4,1,High
1101,-0.2,4,7,1,157,7,9,9,Low
1102,0.53,3,6,9,111,7,5,2,Medium
1103,0.5,9,7,6,150,3,8,5,High
1104,0.92,6,9,4,102,6,2,7,Low
1105,-0.83,9,6,1,114,5,5,2,High
1106,0.55,3,7,7,94,0,6,6,High
1107,0.74,3,5,1,158,3,6,9,Medium
1108,0.7,4,8,3,129,1,3,9,Medium
1109,0.16,4,5,8,117,2,2,5,Medium
1110,-0.33,5,8,9,89,0,6,8,Low
1111,0.95,5,5,1,102,2,7,9,Low
1112,0.98,4,7,7,131,8,5,1,Low
1113,-0.66,8,8,9,112,5,9,9,High
1114,0.61,6,9,9,100,4,1,7,High
1115,-0.35,4,6,8,119,6,5,8,High
1116,0.75,6,6,7,136,8,4,9,High
1117,-0.73,6,6,8,156,3,6,3,High
1118,0.1,5,8,3,147,3,8,1,Low
1119,0.56,9,8,9,102,7,7,5,High
1120,0.23,8,5,1,81,3,6,9,Low
1121,0.74,8,9,5,84,3,7,3,High
1122,0.25,3,8,3,90,0,8,1,Low
1123,0.8,6,9,1,141,4,2,6,High
1124,0.57,5,7,6,147,9,6,8,High
1125,0.31,6,7,5,149,6,9,1,Medium
1126,0.09,6,5,4,122,5,6,4,High
1127,0.93,6,5,5,91,7,7,2,High
1128,-0.19,3,9,1,154,2,8,4,Medium
1129,0.5,7,8,3,101,3,7,9,Medium
1130,-0.73,4,9,5,92,7,6,5,Medium
1131,-0.37,8,9,3,89,4,4,7,Low
1132,0.23,7,8,3,142,9,8,1,Low
1133,0.07,4,9,6,139,1,7,1,High
1134,-0.58,5,5,3,101,6,2,8,High
1135,-0.28,5,9,9,94,0,2,9,High
1136,0.64,5,7,6,137,4,1,3,High
1137,-0.27,4,9,5,87,3,6,8,Low
1138,-0.29,3,7,9,93,3,8,9,High
1139,0.51,5,7,4,81,5,3,1,High
1140,-0.85,3,9,5,107,7,7,4,Medium
1141,-0.69,7,6,9,87,7,3,2,Medium
1142,-0.43,7,8,2,152,8,6,2,High
1143,-0.91,4,9,3,144,5,1,9,High
1144,0.65,8,7,3,130,2,7,7,Medium
1145,0.17,7,9,8,123,7,6,2,High
1146,-0.95,3,7,4,111,0,4,7,High
1147,0.52,6,5,1,97,8,2,4,Medium
1148,0.12,6,8,2,120,1,4,2,Low
1149,-0.74,9,6,5,116,2,8,8,Medium
1150,0.2,9,7,2,145,8,5,1,High
1151,-0.1,9,6,2,116,2,6,1,High
1152,-0.44,3,9,1,88,7,5,2,High
1153,-0.29,4,9,7,143,2,3,4,High
1154,-0.95,9,5,2,87,9,9,3,High
1155,0.3,7,7,7,130,5,9,8,Low
1156,0.56,9,7,3,90,9,2,2,Low
1157,-0.66,9,6,7,141,4,9,2,Low
1158,-0.22,4,5,9,112,1,6,9,Low
1159,-0.15,3,7,7,150,7,2,4,High
1160,-0.38,9,8,3,131,5,7,5,Medium
1161,-0.74,5,9,2,116,6,3,3,Low
1162,-0.13,8,8,8,105,8,4,7,High
1163,0.69,6,9,6,134,7,4,7,Medium
1164,-0.36,3,5,8,154,1,9,9,Low
1165,-1.0,4,6,8,92,4,8,2,Medium
1166,-0.01,8,9,9,125,5,8,1,Low
1167,-0.8,9,9,2,87,9,9,2,Medium
1168,0.62,3,8,1,147,7,1,7,Low
1169,-0.2,8,6,1,131,5,9,2,Medium
1170,0.81,4,8,2,131,3,4,1,Medium
1171,0.74,8,5,6,99,1,8,7,Low
1172,-0.54,9,7,6,155,8,4,8,Medium
1173,0.37,6,5,7,149,7,6,5,Medium
1174,0.4,6,7,7,136,7,2,5,High
1175,-0.72,7,7,9,98,6,6,6,High
1176,0.74,4,8,5,138,2,5,5,High
1177,0.23,4,6,6,158,4,2,3,Medium
1178,0.45,4,8,5,119,6,4,7,High
1179,0.59,9,8,1,122,6,3,2,Low
1180,0.54,9,7,7,103,2,7,1,High
1181,-0.04,5,9,2,148,1,7,5,High
1182,0.65,4,7,1,144,3,1,5,Low
1183,-0.31,5,8,4,93,4,6,2,Medium
1184,-0.68,7,6,4,136,2,4,2,Medium
1185,0.57,8,8,3,136,8,5,4,High
1186,0.59,9,9,6,126,1,6,7,Medium
1187,0.96,3,5,1,95,1,4,5,High
1188,-0.73,5,6,4,121,1,8,5,Medium
1189,-0.64,8,6,1,90,6,8,5,High
1190,-0.66,4,5,9,117,3,7,3,High
1191,0.23,9,9,8,108,6,1,8,High
1192,0.82,5,7,4,116,7,9,3,High
1193,0.75,4,8,1,90,2,2,6,High
1194,-0.98,3,7,4,159,6,9,8,High
1195,0.27,4,7,6,97,1,8,1,High
1196,0.79,7,7,3,95,5,5,2,Low
1197,-0.06,7,6,2,150,0,7,6,High
1198,-0.82,5,6,6,139,2,9,3,Medium
1199,-0.23,5,8,4,144,8,1,7,Medium
1200,-0.63,6,7,9,91,2,8,3,Low
1201,-0.99,7,8,4,91,4,6,9,Low
1202,0.65,5,7,6,118,6,8,6,Medium
1203,0.5,4,7,7,117,0,5,6,Low
1204,0.54,4,8,9,158,2,4,7,Medium
1205,-0.08,8,9,4,89,1,6,6,Low
1206,-0.33,8,5,3,80,0,4,9,Low
1207,0.89,6,8,5,135,4,8,7,High
1208,0.54,5,9,4,147,5,3,5,Medium
1209,-0.91,5,5,2,110,1,1,1,High
1210,-0.31,4,9,8,120,1,7,9,High
1211,-0.03,3,5,2,80,4,3,2,Low
1212,0.56,4,5,7,139,8,9,3,Low
1213,-0.43,6,8,9,151,6,3,3,Low
1214,0.68,3,8,9,136,9,8,9,High
1215,0.81,9,6,4,104,0,5,9,Medium
1216,-0.68,7,8,5,129,6,9,1,Medium
1217,-0.56,5,5,3,81,9,7,7,High
1218,0.88,8,9,3,111,5,4,2,Medium
1219,-0.56,3,6,5,88,6,2,3,High
1220,0.79,7,7,3,103,1,4,5,Low
1221,0.26,3,8,3,106,3,6,2,Medium
1222,-0.23,8,6,5,138,1,1,8,Low
1223,-0.03,8,6,2,119,4,6,3,Low
1224,-0.65,4,7,8,124,8,1,3,Low
1225,0.71,6,5,9,112,1,2,2,Medium
1226,0.5,8,7,1,82,8,7,9,Medium
1227,0.62,3,7,6,129,9,1,2,High
1228,-0.05,3,9,5,121,1,3,9,Medium
1229,0.49,8,5,2,157,8,4,5,Low
1230,0.15,6,6,5,146,7,7,1,Medium
1231,-0.5,9,5,1,155,8,5,9,Medium
1232,-0.61,3,7,1,127,6,5,9,Medium
1233,0.89,8,6,6,156,7,2,2,Low
1234,0.08,7,7,6,101,7,1,2,Low
1235,-0.86,4,9,5,155,1,4,1,High
1236,0.41,3,8,6,95,9,8,7,High
1237,-0.44,9,7,2,80,7,3,2,Low
1238,-0.18,4,8,3,153,9,9,1,Low
1239,0.51,3,7,1,143,2,5,9,Low
1240,0.23,3,8,9,142,2,8,9,High
1241,0.39,3,5,2,155,4,7,6,Medium
1242,0.57,9,7,7,146,7,6,6,Medium
1243,-0.74,8,7,4,140,7,3,4,Medium
1244,-0.64,7,5,7,154,4,3,6,High
1245,0.4,9,9,8,116,4,1,7,Low
1246,0.49,5,7,2,83,0,9,2,Medium
1247,-0.61,9,8,8,142,0,2,2,Medium
1248,0.51,8,6,6,110,6,9,8,Low
1249,-0.1,4,5,8,117,5,8,2,High
1250,0.29,5,5,6,143,6,1,2,Low
1251,-0.51,9,9,9,117,8,5,8,Low
1252,0.02,3,9,8,99,2,7,5,High
1253,-0.8,7,8,5,111,7,1,3,High
1254,-0.29,7,6,6,108,6,5,1,High
1255,0.36,8,7,7,98,4,5,7,Low
1256,-0.13,3,5,4,150,8,6,8,Medium
1257,-0.59,3,6,2,158,3,7,9,High
1258,0.82,6,6,9,152,1,4,1,High
1259,-0.29,6,9,9,99,4,2,9,High
1260,0.01,5,7,4,129,7,6,3,High
1261,-0.34,7,7,6,89,7,5,2,High
1262,-0.33,4,7,9,143,3,2,1,High
1263,0.87,9,6,9,131,3,6,2,Medium
1264,0.91,3,9,7,92,3,7,5,Medium
1265,-0.9,5,8,9,85,0,1,1,Medium
1266,0.34,3,9,5,115,5,4,4,Medium
1267,-0.07,9,9,6,102,4,2,2,Medium
1268,0.99,6,7,8,82,2,2,5,Low
1269,0.31,9,8,3,92,0,3,9,Low
1270,-0.88,8,8,2,117,9,6,3,High
1271,0.97,6,8,4,126,7,4,5,Low
1272,0.38,4,5,3,127,5,4,9,Low
1273,-0.75,7,7,7,112,6,1,8,High
1274,0.85,9,7,2,151,1,5,2,High
1275,-0.71,5,5,3,155,6,1,6,Low
1276,-0.39,7,9,1,103,1,2,7,High
1277,-0.3,8,7,6,131,9,9,6,Medium
1278,-0.77,5,5,4,121,7,6,1,Medium
1279,-0.7,9,8,1,86,1,5,5,Low
1280,-0.85,8,6,4,158,9,6,8,Low
1281,0.9,8,6,5,116,8,2,9,Low
1282,-0.99,3,8,7,117,0,2,8,High
1283,0.41,4,8,6,134,6,8,4,High
1284,-0.19,5,9,2,157,6,9,1,Low
1285,0.74,8,9,2,121,1,1,1,High
1286,0.87,6,5,1,152,6,4,8,Medium
1287,-0.44,4,9,6,152,4,3,5,High
1288,0.01,8,9,6,99,2,1,1,High
1289,0.65,3,7,2,140,3,2,5,Medium
1290,-0.22,7,8,1,104,8,8,6,Medium
1291,-0.94,8,9,9,116,8,7,8,Low
1292,0.87,5,7,5,113,1,7,1,Low
1293,-0.83,6,7,5,147,9,5,7,Medium
1294,0.66,3,6,4,136,3,9,5,High
1295,-0.75,4,6,9,86,9,4,1,High
1296,-0.02,7,6,4,124,2,6,5,High
1297,-0.18,4,5,1,88,9,2,6,High
1298,0.03,8,6,5,128,1,7,6,Low
1299,-0.35,4,8,4,80,8,9,7,Medium
1300,-0.13,6,7,4,157,7,9,3,High
1301,-0.43,3,8,8,141,1,7,4,Medium
1302,0.69,6,5,9,102,1,9,4,High
1303,0.19,8,8,3,127,7,7,4,Medium
1304,0.5,5,9,4,141,7,9,9,High
1305,0.99,5,9,6,155,1,2,8,Low
1306,-0.76,5,5,7,137,1,6,6,High
1307,-0.05,8,9,1,151,0,2,9,High
1308,-0.03,5,9,4,148,8,7,5,Medium
1309,-0.89,8,5,7,82,1,3,5,Medium
1310,0.82,4,9,6,146,1,3,9,High
1311,-0.07,8,8,4,145,7,4,3,Medium
1312,0.33,3,5,3,150,0,8,7,Medium
1313,-0.37,3,8,5,88,2,4,2,Low
1314,0.96,5,7,4,115,1,6,4,Medium
1315,-0.99,3,9,5,150,4,2,8,Medium
1316,-0.18,7,7,6,159,3,2,5,High
1317,-0.48,4,8,8,140,3,2,8,High
1318,0.99,3,6,7,110,6,5,4,Low
1319,-0.58,3,8,6,111,0,4,1,Low
1320,-0.86,4,7,1,148,9,9,4,Medium
1321,-0.73,6,6,1,148,2,2,7,High
1322,0.59,6,8,5,157,6,1,3,High
1323,-0.24,7,6,4,81,4,8,6,Low
1324,0.89,8,9,6,109,9,4,4,High
1325,0.29,9,6,3,95,6,8,3,Medium
1326,-0.14,7,5,9,131,8,1,7,High
1327,0.66,5,7,2,104,3,6,2,High
1328,-0.52,9,5,7,115,9,6,3,Medium
1329,-0.66,3,8,5,93,7,3,3,Medium
1330,0.97,4,7,1,144,2,4,3,Medium
1331,-0.46,3,5,3,84,3,6,5,Low
1332,-0.36,4,9,3,144,4,6,5,Low
1333,-0.47,5,6,8,97,7,5,9,Low
1334,-0.3,9,5,8,117,2,1,4,Low
1335,0.51,4,5,5,109,2,4,4,High
1336,-0.7,3,8,3,108,2,3,8,Low
1337,0.66,7,5,9,91,5,7,6,High
1338,0.28,5,6,7,88,2,5,4,Low
1339,-0.35,9,6,4,106,5,9,1,Medium
1340,0.21,7,9,1,143,6,5,1,Low
1341,0.77,6,9,4,136,2,7,8,Medium
1342,-0.86,8,6,8,80,4,3,3,High
1343,0.85,4,8,1,145,3,9,4,Medium
1344,-0.31,4,9,5,121,7,5,3,High
1345,0.41,9,9,1,94,9,4,4,Low
1346,0.51,7,5,8,108,6,4,3,Low
1347,-0.08,7,9,6,88,8,4,6,Low
1348,-0.0,6,8,1,118,2,9,9,Medium
1349,0.68,8,8,7,126,3,6,3,High
1350,-0.03,5,5,3,108,2,2,8,Medium
1351,0.83,6,8,2,83,6,5,7,Low
1352,-0.93,7,8,2,153,2,5,3,High
1353,0.11,7,8,6,159,6,5,4,High
1354,0.13,8,6,3,129,6,2,7,Medium
1355,0.65,6,6,8,94,5,3,9,Medium
1356,0.23,4,8,5,121,0,3,8,Low
1357,0.07,5,6,3,94,0,3,5,Medium
1358,0.61,8,7,7,155,8,5,7,Medium
1359,-0.48,4,8,3,143,1,1,9,Low
1360,-0.13,8,8,6,151,3,7,9,Low
1361,-0.0,5,9,2,141,8,7,4,Low
1362,0.93,5,5,4,87,5,2,6,Low
1363,-0.92,3,7,9,129,8,1,2,Medium
1364,0.6,3,8,6,111,0,9,9,High
1365,-0.03,9,8,7,126,2,5,6,High
1366,-0.26,7,5,6,111,0,1,3,Low
1367,0.19,9,8,6,112,2,3,7,High
1368,0.23,9,6,8,91,4,1,1,Medium
1369,-0.79,8,9,5,121,4,4,1,Low
1370,0.15,8,6,9,107,3,5,3,High
1371,0.32,8,9,2,83,8,3,8,High
1372,0.38,6,8,9,146,5,7,5,High
1373,-0.71,9,8,9,153,9,6,6,High
1374,-0.3,6,8,8,84,7,7,9,Low
1375,0.01,4,8,9,151,2,5,4,High
1376,-0.51,9,6,7,149,9,9,2,Low
1377,0.71,3,6,6,138,3,2,6,Medium
1378,0.44,9,9,5,119,7,4,1,High
1379,0.2,5,6,4,140,7,2,9,High
1380,0.7,9,9,4,148,3,4,7,Low
1381,0.11,7,7,1,91,6,2,1,High
1382,-0.04,6,9,8,136,9,6,6,High
1383,-0.16,6,8,1,125,1,4,2,Medium
1384,0.99,9,9,2,107,3,7,2,High
1385,-0.47,4,9,9,109,1,8,3,Medium
1386,-0.54,9,7,4,156,5,9,1,Medium
1387,-0.05,7,7,4,112,1,3,3,Low
1388,0.27,3,9,7,90,0,9,5,High
1389,0.56,8,8,7,82,5,2,6,High
1390,-0.49,9,5,6,82,3,1,1,High
1391,0.14,9,7,7,152,0,6,4,Low
1392,-0.63,3,5,3,121,9,6,8,Low
1393,-0.14,3,8,1,148,9,7,2,Low
1394,0.09,5,6,8,117,3,5,9,High
1395,-0.33,6,7,9,131,4,3,7,High
1396,-0.25,9,7,6,106,1,1,1,Low
1397,-0.53,9,9,6,139,1,1,6,Medium
1398,0.37,8,8,5,129,4,4,2,Medium
1399,0.36,7,6,9,150,0,5,8,High
1400,-0.88,5,6,4,155,2,9,7,High
1401,-0.09,6,5,5,116,3,1,4,Low
1402,-0.33,7,9,9,107,9,1,8,High
1403,0.13,5,8,1,149,8,5,5,Low
1404,0.89,9,7,6,107,1,4,5,Low
1405,-0.69,8,9,8,91,0,6,6,Low
1406,-0.26,3,5,3,157,0,5,1,Medium
1407,0.62,3,8,8,105,5,8,6,Low
1408,0.41,4,8,4,89,1,6,5,High
1409,0.17,4,7,9,138,7,2,5,Medium
1410,0.17,4,9,5,133,2,3,6,Low
1411,-0.95,4,5,1,155,1,1,8,High
1412,-0.25,7,8,7,110,3,6,2,High
1413,-0.6,4,6,9,100,6,7,4,Low
1414,-0.12,3,5,7,145,1,2,7,High
1415,0.43,4,9,3,111,9,3,4,High
1416,-0.04,4,5,5,106,7,3,9,High
1417,-0.2,8,8,4,156,5,1,2,High
1418,-0.24,6,7,6,120,1,5,3,Medium
1419,-0.12,5,9,3,124,7,9,6,High
1420,-0.49,4,6,8,103,9,2,2,Low
1421,0.39,7,6,3,143,0,1,4,High
1422,0.71,4,5,2,103,4,8,4,Low
1423,-0.49,7,6,7,159,9,3,5,Medium
1424,-0.94,8,7,8,98,9,9,8,Low
1425,-0.76,5,6,1,120,4,3,3,Medium
1426,-0.69,6,7,7,106,3,9,9,High
1427,-0.47,7,8,6,129,3,9,6,Medium
1428,0.64,9,5,5,98,4,2,9,Medium
1429,0.3,8,9,9,132,0,9,7,High
1430,0.17,9,5,1,151,9,2,9,Medium
1431,0.84,3,9,2,86,5,8,4,Medium
1432,-0.33,7,6,4,159,5,1,7,Low
1433,-0.47,7,9,1,116,8,6,1,High
1434,-0.69,9,9,5,158,8,3,3,High
1435,-0.11,5,5,7,80,2,8,4,Medium
1436,0.42,5,7,8,127,2,6,8,Medium
1437,0.71,8,8,2,135,5,7,8,High
1438,0.78,7,9,2,100,5,7,5,Medium
1439,-0.25,7,9,7,95,6,3,3,High
1440,0.75,5,5,8,124,1,4,2,Medium
1441,-0.28,6,9,4,122,3,9,6,Medium
1442,-0.69,3,9,6,146,2,7,6,Medium
1443,0.1,5,8,3,81,4,1,6,Low
1444,0.35,6,5,1,113,2,4,9,Low
1445,0.16,6,7,9,99,0,7,9,Medium
1446,-0.3,6,6,6,84,4,6,6,Low
1447,0.12,7,9,6,118,0,3,7,Low
1448,-0.37,6,8,1,107,1,4,2,Low
1449,-0.72,7,5,5,147,4,2,5,High
1450,-0.16,9,8,2,144,6,8,7,High
1451,0.16,3,6,8,139,5,6,7,High
1452,-0.19,7,7,7,107,7,1,6,Low
1453,0.74,3,5,3,92,1,6,2,Low
1454,-0.52,7,9,1,159,2,3,2,High
1455,-0.24,3,7,6,88,0,6,6,Low
1456,-0.28,5,7,3,113,8,2,7,Medium
1457,0.68,7,5,2,96,3,8,7,High
1458,0.27,9,9,8,97,2,3,1,Low
1459,0.49,4,8,6,149,5,5,1,High
1460,0.58,4,5,6,140,2,3,3,Medium
1461,0.33,3,5,3,89,5,3,6,Medium
1462,0.85,6,6,5,134,4,6,4,Low
1463,-0.72,3,5,5,145,8,6,8,High
1464,0.02,9,8,9,135,6,4,9,Low
1465,-0.37,9,5,3,156,9,8,6,Low
1466,-0.76,5,7,6,95,9,1,4,Medium
1467,0.3,8,8,1,154,2,1,7,Low
1468,0.81,4,7,5,135,3,1,2,Medium
1469,-0.38,4,9,9,116,0,1,5,Low
1470,-0.31,8,7,3,150,6,3,8,Medium
1471,-0.92,4,8,4,145,4,4,3,Medium
1472,0.96,4,6,6,112,4,6,9,Low
1473,-0.79,6,5,2,110,6,2,3,High
1474,0.83,8,5,1,89,2,9,3,Medium
1475,0.09,5,6,2,100,6,8,7,High
1476,0.87,4,9,8,109,4,9,8,Low
1477,0.85,6,5,2,146,5,6,7,High
1478,0.93,6,7,3,126,8,5,4,Medium
1479,0.84,3,7,7,118,2,8,9,Medium
1480,0.41,8,8,7,112,6,6,5,High
1481,0.46,4,9,5,125,6,9,4,High
1482,0.21,8,9,9,100,4,7,8,Medium
1483,0.49,5,9,9,133,1,1,7,Low
1484,-0.57,6,5,6,154,0,2,9,High
1485,-0.64,5,5,9,106,1,1,3,Low
1486,0.79,9,6,1,91,0,9,6,Medium
1487,-0.27,5,5,3,119,0,3,6,Low
1488,0.93,4,7,6,90,5,2,8,Low
1489,0.27,4,9,7,92,6,4,1,Medium
1490,0.72,3,5,9,138,1,8,2,High
1491,0.71,8,8,9,87,4,5,1,Medium
1492,-0.75,4,9,4,85,7,2,5,Medium
1493,0.94,9,9,6,108,4,3,9,High
1494,-0.67,3,6,4,156,9,9,9,High
1495,-0.73,5,9,4,131,3,2,8,High
1496,-0.92,7,5,4,98,6,4,7,Low
1497,-0.37,5,8,3,119,6,7,4,Low
1498,-0.18,8,5,1,158,0,4,3,Medium
1499,0.78,9,7,5,143,0,1,1,High
1500,0.81,8,8,7,123,6,3,4,High
1501,0.06,4,5,8,152,5,7,5,Low
1502,0.6,9,6,2,137,4,3,8,High
1503,0.06,4,8,3,105,1,9,5,Low
1504,-0.19,8,9,7,115,9,6,7,Medium
1505,0.35,5,9,9,91,5,8,8,Medium
1506,0.98,8,8,2,128,1,6,1,Medium
1507,0.83,8,9,6,141,2,7,2,Medium
1508,0.23,8,7,6,102,8,4,6,Low
1509,-0.9,7,6,4,107,9,1,4,Medium
1510,-0.03,4,9,5,104,2,3,8,High
1511,0.86,5,6,1,151,4,8,3,Low
1512,-0.07,8,6,2,159,8,2,2,High
1513,-0.16,9,7,1,147,9,7,4,Low
1514,0.59,4,7,6,115,4,1,8,Medium
1515,0.88,4,9,1,89,1,2,8,High
1516,-0.36,3,7,1,152,5,2,6,Medium
1517,0.37,9,6,9,110,9,4,6,Medium
1518,-0.2,7,8,2,144,1,7,2,Medium
1519,-0.39,9,9,9,139,0,2,4,Low
1520,0.97,6,7,5,152,6,2,1,Low
1521,0.76,9,5,6,89,5,2,3,Medium
1522,-0.02,6,8,9,104,7,6,1,High
1523,-0.65,3,8,6,145,0,1,2,High
1524,-0.44,6,6,3,81,2,7,1,Medium
1525,-0.99,9,6,6,91,1,5,3,Low
1526,0.73,6,7,6,86,3,6,7,Low
1527,-0.28,5,8,4,102,2,1,1,Low
1528,-0.77,6,9,8,127,9,7,1,Low
1529,-0.21,6,6,8,116,6,7,4,Low
1530,0.79,8,9,1,154,5,9,4,Medium
1531,0.82,3,7,1,119,2,5,2,Low
1532,-0.18,4,6,3,145,4,7,6,Low
1533,-0.57,3,7,7,138,7,2,6,High
1534,-0.16,6,8,1,130,1,8,8,High
1535,-0.94,6,9,3,81,6,1,5,Medium
1536,0.34,8,9,7,113,7,9,3,Low
1537,0.84,6,8,6,90,8,4,3,Medium
1538,0.73,3,9,6,94,6,2,1,Low
1539,-0.88,6,9,4,151,4,2,8,Medium
1540,0.06,9,6,8,156,5,2,5,Medium
1541,-0.76,6,8,7,106,3,8,6,High
1542,-0.25,3,7,6,152,2,5,8,Low
1543,-0.59,8,9,1,157,5,1,2,Low
1544,0.38,5,6,5,133,5,3,7,Low
1545,-0.91,6,5,4,97,9,7,4,Medium
1546,-0.16,6,9,1,100,4,4,1,Low
1547,0.11,3,9,3,153,4,9,1,Medium
1548,0.38,8,6,8,139,7,4,6,Low
1549,0.59,9,6,6,96,1,1,5,High
1550,0.25,9,5,2,85,9,6,6,High
1551,0.31,6,6,1,150,3,9,2,Medium
1552,-0.32,8,7,8,136,7,8,6,Medium
1553,-0.3,5,5,1,84,5,7,7,High
1554,0.23,7,6,1,159,3,7,9,High
1555,-0.04,9,5,3,123,9,8,2,Medium
1556,-0.49,8,5,4,115,8,6,8,Medium
1557,0.24,3,6,3,108,2,1,9,Medium
1558,-0.12,3,7,5,114,6,6,7,Low
1559,-0.56,4,7,8,148,2,3,4,Medium
1560,-0.37,6,9,7,114,0,2,2,High
1561,-0.53,3,9,8,107,6,7,3,High
1562,0.73,9,5,6,135,4,9,3,Low
1563,-0.63,7,7,3,153,8,3,4,High
1564,0.18,3,7,7,151,9,6,9,Low
1565,0.77,6,5,2,157,7,4,6,High
1566,0.97,4,6,8,83,7,4,2,Medium
