employee_id,meetings_attended,collaboration_score,punctuality_score,training_hours_completed,work_engagement_score,peer_interaction_score,initiative_score,task_followup_score,performance_rating
1057,16,7,6,11.7,9,6,4,9,Medium
1058,5,8,8,5.2,7,8,2,7,High
1059,18,9,7,17.3,6,9,6,8,High
1060,9,8,8,9.3,6,9,3,7,High
1061,17,8,7,17.4,6,7,9,7,Low
1062,10,5,8,11.1,7,5,1,9,Low
1063,14,5,9,17.6,5,8,1,7,High
1064,7,8,9,17.3,6,8,6,8,Low
1065,9,5,8,18.7,5,7,4,9,Low
1066,10,9,6,6.8,8,6,6,5,Medium
1067,17,5,6,12.2,9,5,6,9,Medium
1068,19,7,8,17.4,8,6,5,8,Low
1069,8,8,7,11.6,9,6,7,7,Medium
1070,15,6,7,7.3,5,8,1,6,Medium
1071,13,5,8,10.7,6,7,8,8,High
1072,8,5,6,16.3,5,8,9,6,High
1073,13,5,9,16.5,8,8,6,6,Medium
1074,17,5,9,17.8,7,9,5,9,Medium
1075,13,5,9,7.0,7,5,4,5,Medium
1076,12,9,9,19.1,6,6,4,6,Low
1077,10,8,6,12.7,5,5,4,6,High
1078,5,8,6,12.3,9,6,3,6,Medium
1079,7,5,8,5.1,7,7,1,9,Low
1080,11,6,8,17.2,5,6,6,6,Low
1081,16,9,6,14.4,9,9,2,7,Low
1082,17,5,6,15.6,6,9,4,8,Low
1083,8,7,8,6.4,9,9,1,6,High
1084,9,9,6,8.5,7,6,3,6,Medium
1085,18,8,9,17.2,7,7,5,5,Low
1086,6,8,6,14.4,8,9,2,5,Low
1087,5,8,7,13.0,8,5,7,7,High
1088,10,8,9,8.4,9,5,3,9,High
1089,14,9,9,17.1,7,5,4,5,Low
1090,13,8,8,8.5,7,5,6,8,Medium
1091,16,9,8,10.5,7,6,9,8,Low
1092,19,7,6,11.4,6,9,1,5,Medium
1093,17,8,7,16.2,5,5,5,6,Low
1094,17,5,7,7.6,7,8,3,7,Low
1095,17,5,7,8.2,9,5,5,8,Low
1096,8,8,6,19.5,9,9,6,6,Low
1097,6,8,9,8.7,7,9,4,7,Low
1098,7,8,9,9.4,7,5,4,5,High
1099,12,6,9,18.9,5,6,6,8,Medium
1100,8,6,8,8.9,8,8,8,7,High
1101,16,6,7,10.7,9,5,6,9,Low
1102,10,6,9,19.9,6,6,8,9,Medium
1103,18,5,6,11.2,7,7,7,6,High
1104,15,9,7,9.0,5,7,1,5,Low
1105,13,7,8,10.1,8,8,9,8,High
1106,14,7,7,7.5,5,6,5,7,High
1107,10,7,7,10.6,9,8,6,7,Medium
1108,7,9,7,19.0,6,5,5,5,Medium
1109,9,9,6,5.7,5,8,3,5,Medium
1110,6,6,9,12.0,5,9,5,8,Low
1111,13,8,6,18.5,6,9,5,9,Low
1112,16,7,8,14.7,9,6,9,9,Low
1113,16,7,7,18.5,5,9,2,7,High
1114,19,8,7,19.0,7,7,6,5,High
1115,10,5,9,13.6,8,5,9,5,High
1116,11,8,8,16.6,8,5,1,5,High
1117,7,9,8,13.8,7,9,2,6,High
1118,16,9,9,19.3,9,9,8,7,Low
1119,13,7,8,12.0,6,8,1,7,High
1120,10,5,9,16.0,5,5,4,6,Low
1121,19,8,9,9.6,9,6,6,9,High
1122,18,9,6,5.2,6,6,3,6,Low
1123,9,5,6,14.2,9,5,9,7,High
1124,10,8,8,19.3,7,9,6,9,High
1125,15,7,9,6.2,5,9,4,5,Medium
1126,16,5,8,7.5,7,8,1,7,High
1127,17,7,9,17.0,8,6,4,7,High
1128,16,5,9,11.9,6,5,3,7,Medium
1129,6,6,9,14.8,7,5,5,5,Medium
1130,5,8,7,12.0,8,8,1,6,Medium
1131,11,9,9,14.3,9,8,4,5,Low
1132,19,9,6,11.6,9,5,7,9,Low
1133,12,9,9,9.1,7,5,6,5,High
1134,5,6,8,7.6,6,8,5,6,High
1135,19,5,7,19.3,7,7,7,9,High
1136,10,7,8,6.3,6,5,7,7,High
1137,15,8,6,19.8,7,7,6,5,Low
1138,11,7,9,10.1,9,6,4,6,High
1139,5,5,9,16.2,6,9,3,5,High
1140,19,7,8,8.3,8,7,4,9,Medium
1141,18,8,8,6.9,9,7,1,5,Medium
1142,18,7,6,19.2,9,8,7,9,High
1143,12,7,9,7.5,5,6,5,5,High
1144,14,5,8,16.9,7,6,9,5,Medium
1145,9,9,7,6.5,7,7,5,9,High
1146,5,6,7,15.8,5,5,2,7,High
1147,14,7,8,18.6,9,7,6,6,Medium
1148,17,7,8,14.5,6,7,3,5,Low
1149,16,5,8,5.9,9,9,2,8,Medium
1150,13,5,7,13.9,7,5,3,9,High
1151,6,8,7,7.3,6,9,9,7,High
1152,11,7,7,18.8,8,6,4,5,High
1153,16,6,6,16.2,9,9,2,7,High
1154,17,9,7,18.5,6,5,7,6,High
1155,9,9,8,11.5,8,9,6,8,Low
1156,18,8,7,9.6,9,7,6,5,Low
1157,5,8,7,6.7,6,5,1,6,Low
1158,8,5,6,14.0,6,9,9,7,Low
1159,19,6,6,11.9,7,7,5,9,High
1160,19,5,7,6.9,9,5,9,9,Medium
1161,15,8,6,9.5,9,5,6,8,Low
1162,19,5,9,11.1,8,9,3,8,High
1163,11,6,8,10.2,9,5,8,9,Medium
1164,7,7,8,17.9,8,6,3,7,Low
1165,15,7,6,17.9,7,6,3,5,Medium
1166,19,9,7,17.1,5,5,6,6,Low
1167,17,6,8,11.6,7,8,5,8,Medium
1168,19,8,8,6.3,6,5,2,6,Low
1169,19,7,7,12.4,7,6,8,7,Medium
1170,10,5,9,8.1,8,6,4,8,Medium
1171,12,8,7,17.9,6,5,3,5,Low
1172,6,6,8,11.6,7,8,6,9,Medium
1173,11,6,9,16.5,9,5,6,5,Medium
1174,12,7,8,11.0,8,6,1,7,High
1175,6,7,6,8.2,8,6,3,5,High
1176,7,7,7,19.1,5,6,8,8,High
1177,8,8,9,10.5,7,5,4,5,Medium
1178,18,6,8,15.1,8,9,1,9,High
1179,10,8,6,7.9,6,6,5,9,Low
1180,10,8,7,13.9,5,7,1,9,High
1181,12,5,6,15.7,5,6,6,6,High
1182,10,5,8,18.4,5,7,6,7,Low
1183,5,6,6,8.4,7,5,7,8,Medium
1184,18,9,9,17.2,8,5,1,8,Medium
1185,11,5,6,10.8,5,8,2,7,High
1186,8,8,8,15.3,9,7,7,5,Medium
1187,6,7,7,6.7,8,8,1,6,High
1188,10,5,9,13.5,5,6,7,8,Medium
1189,5,7,7,18.0,6,8,6,8,High
1190,6,7,9,12.2,6,8,5,8,High
1191,14,5,9,13.6,7,7,4,6,High
1192,19,5,8,19.3,6,8,7,8,High
1193,7,8,7,16.8,5,9,5,7,High
1194,18,8,9,13.6,8,9,4,8,High
1195,7,6,9,8.8,8,8,9,5,High
1196,19,9,8,13.7,7,8,6,7,Low
1197,10,9,7,10.7,8,5,4,7,High
1198,18,7,6,5.9,7,8,3,6,Medium
1199,13,5,7,8.9,7,6,4,8,Medium
1200,15,7,6,14.2,6,6,2,8,Low
1201,12,5,8,11.6,9,8,3,6,Low
1202,7,7,6,10.8,8,5,3,7,Medium
1203,12,9,7,8.7,9,5,1,5,Low
1204,17,5,9,19.4,8,6,9,6,Medium
1205,5,8,7,18.1,7,5,1,5,Low
1206,12,5,8,19.3,5,8,1,6,Low
1207,15,8,7,6.0,6,7,8,9,High
1208,18,5,6,5.5,8,6,5,6,Medium
1209,12,8,6,12.1,9,7,8,7,High
1210,14,6,9,13.6,5,9,6,8,High
1211,17,5,6,13.7,9,7,3,9,Low
1212,16,5,7,10.5,6,8,3,8,Low
1213,18,8,8,17.1,8,9,4,9,Low
1214,15,8,9,7.7,7,6,1,9,High
1215,6,6,9,6.5,6,6,7,6,Medium
1216,6,7,8,19.9,6,5,3,5,Medium
1217,15,8,8,15.9,8,5,5,7,High
1218,8,5,7,5.6,6,6,6,6,Medium
1219,7,5,8,11.3,6,7,3,9,High
1220,17,9,8,15.7,9,7,3,9,Low
1221,8,6,6,16.6,9,8,8,8,Medium
1222,5,9,6,17.4,6,8,7,7,Low
1223,18,7,7,19.1,8,6,8,5,Low
1224,8,7,6,6.8,6,6,3,5,Low
1225,9,8,6,10.2,8,6,5,9,Medium
1226,11,7,7,9.0,7,9,6,6,Medium
1227,13,7,8,17.2,6,6,8,5,High
1228,9,6,8,14.0,6,8,6,6,Medium
1229,10,9,9,8.3,6,6,4,5,Low
1230,10,5,6,10.0,7,7,7,5,Medium
1231,18,7,6,11.8,7,7,2,6,Medium
1232,5,5,8,19.1,9,5,9,8,Medium
1233,18,9,8,10.9,5,6,9,8,Low
1234,18,8,8,19.4,7,7,4,8,Low
1235,12,8,8,9.3,7,9,5,6,High
1236,16,6,9,6.4,9,9,9,5,High
1237,9,6,8,18.6,6,9,6,9,Low
1238,10,9,6,5.6,5,6,5,8,Low
1239,14,9,6,12.5,8,6,3,5,Low
1240,14,9,8,17.7,5,6,4,7,High
1241,19,7,7,11.5,9,8,5,5,Medium
1242,10,7,6,18.5,5,5,1,7,Medium
1243,19,5,9,12.9,9,5,9,5,Medium
1244,15,8,9,17.6,6,7,2,8,High
1245,5,6,9,13.0,7,6,2,6,Low
1246,14,7,8,19.7,5,8,2,8,Medium
1247,7,9,8,18.4,6,9,8,6,Medium
1248,12,5,7,13.7,7,8,8,8,Low
1249,13,6,6,7.9,7,5,9,6,High
1250,19,8,9,15.0,7,8,5,6,Low
1251,18,9,8,11.5,9,7,7,7,Low
1252,19,5,7,19.0,6,9,2,8,High
1253,5,6,6,8.8,5,8,5,9,High
1254,16,6,6,12.0,5,8,8,7,High
1255,12,8,6,7.6,9,8,3,6,Low
1256,7,5,6,14.4,8,6,6,5,Medium
1257,8,9,8,7.2,5,6,5,9,High
1258,15,6,7,6.2,8,7,4,6,High
1259,19,8,7,15.8,9,7,2,9,High
1260,17,7,6,8.2,8,9,7,9,High
1261,17,7,8,18.8,8,9,4,6,High
1262,6,9,8,17.7,5,6,9,5,High
1263,17,8,9,14.0,8,8,1,9,Medium
1264,18,8,9,19.1,6,5,5,5,Medium
1265,5,8,8,10.0,8,8,5,6,Medium
1266,9,7,6,9.2,6,8,7,7,Medium
1267,7,7,6,13.2,6,7,8,5,Medium
1268,10,8,7,18.0,7,7,3,6,Low
1269,5,8,8,8.8,5,7,7,6,Low
1270,10,8,9,13.3,6,7,2,9,High
1271,9,6,8,19.8,9,5,6,5,Low
1272,5,6,9,15.3,5,8,4,9,Low
1273,12,9,9,15.3,6,5,4,6,High
1274,5,5,9,10.5,9,6,8,7,High
1275,7,6,8,7.9,7,8,1,9,Low
1276,9,8,9,19.9,7,6,6,8,High
1277,9,9,8,13.9,8,6,1,8,Medium
1278,15,7,6,8.3,5,8,8,5,Medium
1279,6,5,9,9.6,5,6,8,5,Low
1280,7,8,8,7.7,6,5,2,9,Low
1281,17,5,9,15.6,5,8,6,7,Low
1282,7,5,8,11.2,6,7,7,5,High
1283,7,5,7,12.5,7,5,8,5,High
1284,15,5,9,6.3,7,5,1,9,Low
1285,7,9,7,12.0,9,7,6,5,High
1286,15,7,9,7.6,5,8,4,6,Medium
1287,14,8,8,10.0,8,8,6,6,High
1288,10,8,6,7.8,8,5,5,7,High
1289,14,8,6,10.8,7,5,3,5,Medium
1290,14,7,8,17.5,7,9,2,5,Medium
1291,11,9,8,8.7,9,5,9,9,Low
1292,8,8,9,9.2,7,5,5,5,Low
1293,13,9,8,5.6,5,8,7,9,Medium
1294,19,5,9,19.6,9,8,8,6,High
1295,9,5,9,13.9,9,8,5,6,High
1296,19,7,9,6.8,7,6,8,9,High
1297,12,5,6,5.6,9,6,8,6,High
1298,5,6,8,12.5,9,6,5,5,Low
1299,15,8,9,14.2,5,8,8,8,Medium
1300,10,8,9,7.1,5,5,2,9,High
1301,10,8,7,8.2,9,5,5,8,Medium
1302,14,5,6,19.2,8,8,3,9,High
1303,10,7,8,14.6,9,7,2,9,Medium
1304,9,9,6,12.9,5,5,7,7,High
1305,19,6,7,13.9,6,5,9,6,Low
1306,8,5,7,12.9,9,6,6,5,High
1307,15,7,7,7.2,8,7,7,8,High
1308,9,9,8,12.4,6,7,5,9,Medium
1309,9,7,6,11.5,5,7,1,9,Medium
1310,9,9,8,9.4,9,7,4,9,High
1311,19,6,9,11.4,7,7,4,6,Medium
1312,13,5,8,16.6,5,5,6,6,Medium
1313,6,6,8,11.1,5,9,1,7,Low
1314,15,5,8,14.4,9,9,5,5,Medium
1315,12,8,8,16.4,6,6,9,8,Medium
1316,12,8,8,19.0,6,9,1,5,High
1317,12,8,7,10.5,8,6,6,5,High
1318,16,6,6,19.9,5,9,5,7,Low
1319,19,7,7,19.2,7,9,3,9,Low
1320,6,9,9,14.8,9,6,3,9,Medium
1321,15,7,7,7.3,8,5,3,7,High
1322,5,5,6,14.4,8,5,4,9,High
1323,13,5,6,13.1,6,5,3,9,Low
1324,19,6,9,5.1,6,8,9,6,High
1325,9,9,8,9.3,7,9,5,5,Medium
1326,8,6,8,9.8,5,7,1,7,High
1327,9,5,9,16.0,6,8,7,7,High
1328,6,8,9,18.7,9,7,1,6,Medium
1329,11,7,9,8.8,5,5,7,5,Medium
1330,17,6,9,6.3,8,6,8,5,Medium
1331,8,7,9,6.1,5,7,7,8,Low
1332,7,7,8,9.4,5,7,1,9,Low
1333,16,7,6,7.8,5,6,9,5,Low
1334,11,5,7,18.7,6,7,6,9,Low
1335,9,5,8,18.7,9,9,4,8,High
1336,6,8,7,13.5,7,6,8,5,Low
1337,13,5,6,19.3,5,7,3,7,High
1338,19,5,8,16.1,8,8,9,9,Low
1339,18,5,7,7.8,7,5,7,9,Medium
1340,19,8,8,13.5,6,7,3,7,Low
1341,16,8,9,17.4,9,7,9,9,Medium
1342,6,9,8,10.2,6,7,3,5,High
1343,17,5,9,10.7,5,5,1,5,Medium
1344,9,7,7,7.6,9,9,7,6,High
1345,12,9,8,8.4,5,6,3,8,Low
1346,10,5,8,5.2,8,5,1,5,Low
1347,18,9,8,7.6,6,5,5,6,Low
1348,9,5,7,7.5,5,9,8,7,Medium
1349,9,9,8,17.7,5,8,7,8,High
1350,18,6,9,11.0,5,6,8,6,Medium
1351,11,9,8,19.8,9,8,4,5,Low
1352,11,5,7,11.3,5,6,4,8,High
1353,16,6,8,19.2,7,6,1,6,High
1354,16,8,8,19.9,8,8,1,8,Medium
1355,5,7,7,14.6,8,8,6,7,Medium
1356,15,7,7,10.2,8,9,7,8,Low
1357,17,9,8,12.1,5,7,8,6,Medium
1358,12,7,8,17.4,5,6,6,5,Medium
1359,9,9,9,9.3,9,7,5,5,Low
1360,19,5,8,9.8,8,6,3,6,Low
1361,14,5,8,18.0,5,8,1,7,Low
1362,9,8,6,9.3,5,7,2,9,Low
1363,6,7,7,14.8,8,8,5,8,Medium
1364,10,6,8,15.7,5,7,5,9,High
1365,15,8,7,13.8,8,8,4,9,High
1366,10,9,6,11.2,5,9,6,5,Low
1367,19,7,9,15.0,7,7,3,5,High
1368,15,6,8,18.3,7,9,8,7,Medium
1369,17,6,9,11.2,7,5,4,8,Low
1370,10,7,7,9.0,9,8,7,8,High
1371,18,8,8,8.0,9,7,7,7,High
1372,9,8,9,14.8,5,6,2,7,High
1373,5,9,9,15.1,9,7,8,6,High
1374,15,8,6,13.3,5,8,2,6,Low
1375,9,7,8,19.7,7,8,6,7,High
1376,15,6,6,15.0,6,5,3,6,Low
1377,14,7,8,16.7,7,6,8,5,Medium
1378,8,9,6,8.4,6,5,4,5,High
1379,9,6,8,17.9,9,6,5,6,High
1380,7,5,8,11.5,7,9,8,6,Low
1381,13,8,6,19.6,9,7,9,5,High
1382,13,7,8,10.5,7,7,4,9,High
1383,7,8,8,6.3,5,7,9,5,Medium
1384,9,9,8,8.6,9,8,2,5,High
1385,18,5,7,5.5,8,8,6,6,Medium
1386,19,8,7,11.0,6,8,6,7,Medium
1387,15,9,6,12.5,9,5,7,9,Low
1388,6,8,7,5.3,7,8,7,7,High
1389,5,7,8,19.5,8,9,7,5,High
1390,17,5,8,17.1,5,5,5,8,High
1391,10,6,6,10.3,8,7,7,9,Low
1392,17,9,7,9.5,9,9,7,5,Low
1393,8,6,6,14.8,7,9,9,7,Low
1394,16,9,9,7.3,8,9,7,5,High
1395,6,6,8,7.5,9,7,2,8,High
1396,15,8,8,6.7,6,8,2,6,Low
1397,19,5,6,13.2,9,5,2,7,Medium
1398,6,8,9,5.5,9,5,5,6,Medium
1399,13,5,7,6.0,8,9,1,9,High
1400,12,8,6,12.8,8,5,6,5,High
1401,13,5,9,19.2,6,8,3,9,Low
1402,12,9,6,6.0,8,8,9,6,High
1403,9,9,7,12.4,8,8,4,7,Low
1404,15,7,9,13.5,5,9,6,7,Low
1405,15,8,7,10.0,6,8,6,6,Low
1406,14,8,8,11.5,7,5,5,6,Medium
1407,11,9,8,8.5,5,7,2,7,Low
1408,10,9,8,8.4,8,5,8,5,High
1409,5,5,8,5.1,9,7,3,5,Medium
1410,16,8,9,9.7,6,7,6,6,Low
1411,7,6,9,18.7,7,9,4,9,High
1412,12,5,9,17.3,5,5,7,9,High
1413,15,5,9,13.1,6,7,1,5,Low
1414,10,7,9,17.6,8,7,6,9,High
1415,13,7,7,15.6,9,8,9,9,High
1416,15,7,6,19.5,5,9,5,7,High
1417,8,8,9,11.0,8,6,1,7,High
1418,11,9,6,11.4,6,9,3,7,Medium
1419,12,6,7,13.6,5,5,2,8,High
1420,15,7,6,6.1,6,8,9,8,Low
1421,14,8,9,13.7,8,7,4,8,High
1422,9,6,9,16.3,9,5,9,6,Low
1423,18,9,7,16.2,9,5,4,6,Medium
1424,16,7,8,20.0,7,9,8,6,Low
1425,19,6,8,8.4,9,8,6,8,Medium
1426,6,8,8,8.6,7,5,4,7,High
1427,9,8,8,13.1,6,7,1,7,Medium
1428,6,8,8,10.6,6,6,7,9,Medium
1429,8,9,7,15.7,8,5,9,7,High
1430,10,7,7,16.2,8,7,7,5,Medium
1431,9,9,7,18.3,6,9,3,8,Medium
1432,19,9,8,13.2,8,6,3,7,Low
1433,15,8,9,16.0,5,9,4,6,High
1434,11,6,8,10.0,9,5,2,6,High
1435,18,5,8,15.4,8,6,7,5,Medium
1436,14,6,7,9.6,5,6,6,5,Medium
1437,17,5,8,11.6,5,9,9,5,High
1438,5,8,6,17.9,7,5,1,8,Medium
1439,10,5,6,18.4,7,5,1,9,High
1440,5,8,8,6.1,6,8,3,8,Medium
1441,7,7,6,7.4,8,5,2,7,Medium
1442,19,9,9,8.4,8,7,6,7,Medium
1443,5,6,9,19.4,6,9,6,6,Low
1444,17,9,6,11.2,7,5,1,5,Low
1445,19,9,7,5.8,6,8,8,7,Medium
1446,12,6,7,17.0,8,6,2,6,Low
1447,9,5,7,9.8,8,6,3,8,Low
1448,14,7,9,9.2,7,8,5,8,Low
1449,9,9,9,11.3,8,7,7,7,High
1450,11,5,6,15.0,5,7,8,7,High
1451,6,7,9,18.0,7,8,9,6,High
1452,19,8,8,11.6,5,5,4,8,Low
1453,7,6,9,5.3,6,5,3,7,Low
1454,8,5,8,6.7,6,7,5,6,High
1455,16,5,7,18.2,6,6,9,6,Low
1456,8,8,9,12.6,8,6,2,7,Medium
1457,7,9,7,15.3,8,6,7,9,High
1458,19,8,7,13.3,9,7,5,8,Low
1459,17,9,8,8.9,7,8,1,5,High
1460,15,7,8,18.2,9,5,5,8,Medium
1461,17,7,9,16.8,5,6,1,8,Medium
1462,14,6,6,5.7,8,5,1,7,Low
1463,10,8,7,8.0,9,8,8,9,High
1464,16,8,9,6.2,6,8,1,7,Low
1465,5,9,6,18.7,7,8,8,7,Low
1466,17,5,7,7.8,5,9,5,8,Medium
1467,17,8,6,15.3,7,5,7,9,Low
1468,5,8,9,17.2,9,5,7,8,Medium
1469,13,5,6,19.0,9,6,3,5,Low
1470,10,9,6,5.7,5,5,9,6,Medium
1471,9,6,7,14.2,5,8,7,8,Medium
1472,12,5,9,5.5,9,9,4,8,Low
1473,15,7,6,16.6,5,7,1,8,High
1474,14,6,9,12.4,7,8,8,9,Medium
1475,5,6,7,5.8,5,9,2,8,High
1476,7,6,6,14.2,7,8,1,9,Low
1477,14,7,9,10.4,9,7,3,8,High
1478,16,6,7,9.1,5,5,3,5,Medium
1479,6,7,8,7.6,9,9,5,8,Medium
1480,9,5,6,18.7,5,8,7,8,High
1481,11,7,8,20.0,7,8,7,5,High
1482,8,9,7,11.2,7,5,1,7,Medium
1483,19,8,6,10.0,6,9,2,8,Low
1484,14,8,9,8.4,7,7,9,6,High
1485,19,9,9,10.2,9,9,7,7,Low
1486,13,5,8,14.4,6,9,7,5,Medium
1487,18,6,9,10.9,7,8,2,6,Low
1488,17,8,7,18.0,6,5,2,5,Low
1489,10,5,8,8.4,8,5,2,8,Medium
1490,10,6,9,6.9,9,6,1,7,High
1491,5,9,7,9.2,6,6,3,8,Medium
1492,12,7,9,12.7,8,5,2,9,Medium
1493,11,8,9,7.5,9,5,5,9,High
1494,14,7,7,8.9,8,5,5,7,High
1495,17,8,8,9.3,8,7,8,6,High
1496,8,5,9,10.3,7,8,7,8,Low
1497,17,5,9,14.9,6,6,3,7,Low
1498,7,7,7,5.6,6,9,6,7,Medium
1499,16,5,6,6.0,6,5,3,9,High
1500,15,7,7,14.4,6,9,9,7,High
1501,12,5,9,10.0,9,5,4,8,Low
1502,12,6,6,17.5,8,8,4,5,High
1503,8,5,6,11.0,7,5,6,8,Low
1504,17,8,7,16.2,9,6,6,9,Medium
1505,9,7,6,9.4,5,7,9,6,Medium
1506,18,5,9,19.2,6,5,8,9,Medium
1507,15,6,6,17.5,5,8,1,9,Medium
1508,7,5,9,10.6,5,5,1,7,Low
1509,12,5,6,8.5,6,8,2,8,Medium
1510,12,7,8,19.4,9,7,4,6,High
1511,14,7,7,11.9,9,5,4,8,Low
1512,19,8,8,16.2,6,5,5,8,High
1513,8,7,9,5.3,5,8,9,8,Low
1514,13,7,9,16.6,7,8,5,7,Medium
1515,12,8,6,12.0,7,5,8,6,High
1516,14,9,6,8.1,7,5,2,6,Medium
1517,11,8,8,13.5,6,7,4,8,Medium
1518,6,7,9,16.7,6,7,1,7,Medium
1519,18,8,6,6.2,6,8,7,8,Low
1520,13,6,8,8.9,5,6,6,8,Low
1521,11,6,6,12.9,9,9,9,8,Medium
1522,17,5,7,17.4,7,8,6,5,High
1523,17,5,7,11.5,7,8,7,9,High
1524,17,8,9,17.7,9,9,4,5,Medium
1525,8,6,8,18.3,5,9,2,6,Low
1526,5,7,7,19.8,7,5,9,5,Low
1527,10,7,9,8.4,8,7,8,6,Low
1528,5,5,8,18.2,7,9,6,7,Low
1529,15,9,9,6.1,9,7,9,7,Low
1530,16,8,9,13.4,6,7,4,8,Medium
1531,15,9,7,19.6,5,8,7,5,Low
1532,13,9,6,8.9,5,8,9,8,Low
1533,7,6,7,6.1,7,5,8,8,High
1534,19,5,7,11.8,8,7,6,7,High
1535,8,5,6,8.2,7,5,3,8,Medium
1536,14,8,8,19.8,6,8,2,5,Low
1537,7,5,6,9.1,6,9,4,5,Medium
1538,5,8,6,16.7,9,6,8,7,Low
1539,17,8,7,7.6,5,5,7,8,Medium
1540,10,6,9,17.3,8,7,3,7,Medium
1541,15,5,9,18.3,9,8,7,6,High
1542,17,5,9,11.2,8,5,9,9,Low
1543,9,8,6,17.3,8,9,9,6,Low
1544,19,9,9,11.7,7,9,3,9,Low
1545,9,7,8,8.2,9,5,1,6,Medium
1546,17,6,8,17.2,5,7,9,8,Low
1547,11,7,8,7.2,8,6,3,9,Medium
1548,12,7,8,14.2,9,8,3,5,Low
1549,8,6,7,17.5,9,7,4,9,High
1550,5,7,9,6.4,8,8,2,7,High
1551,11,8,6,5.8,9,8,4,8,Medium
1552,6,6,7,17.1,5,8,1,5,Medium
1553,15,8,9,11.5,8,9,6,6,High
1554,13,8,8,11.9,6,6,5,8,High
1555,16,8,9,11.4,6,5,7,5,Medium
1556,19,8,7,9.8,8,8,4,9,Medium
1557,16,9,9,7.1,5,7,3,6,Medium
1558,13,9,6,7.6,8,8,7,8,Low
1559,18,8,9,6.9,7,5,6,8,Medium
1560,5,8,6,17.2,7,5,5,6,High
1561,10,5,8,10.8,7,7,5,5,High
1562,9,8,6,19.2,9,7,6,6,Low
1563,18,5,8,13.2,6,7,2,7,High
1564,6,5,7,9.4,8,7,6,6,Low
1565,12,6,8,19.0,9,9,9,9,High
1566,7,6,6,14.2,5,6,9,5,Medium
1567,11,7,7,15.1,6,7,5,7,High
1568,19,7,8,9.3,8,9,3,9,High
1569,8,7,9,6.4,9,7,3,9,Low
1570,17,9,7,17.8,9,8,4,5,Medium
1571,12,5,7,6.9,9,6,4,8,High
1572,7,6,7,6.7,7,8,8,5,High
1573,10,8,6,17.8,6,6,8,7,High
1574,11,9,7,7.5,9,6,8,5,Medium
1575,9,8,6,19.0,9,8,2,5,Low
1576,15,7,9,6.0,9,8,1,9,High
1577,18,7,9,12.2,7,5,2,6,Medium
1578,7,5,7,9.8,7,6,5,9,High
